ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			delimited text file (subst.) 		disigita rikordodosiero											tekstbestand met scheidingstekens								fichier texte délimité								durch Trennzeichen getrennte Textdatei			
			delimiter  (subst.) 		disigilo	KompLeks	OOo	TekVort		limigilo	Bertin		apartigilo	Pekoteko		scheidingsteken								délimiteur								Trennzeichen			
			delink (verbo) 		malligi																														
			delinking (subst.) 		malligado																														
			deliver (verbo) 		liveri											leveren								fournir											
			delivery (subst.) 		livero	Bertin																													
			delivery protocol (subst.) 		livera protokolo																			protocole de remise								Übermittlungsprotokoll			
			delivery queue (subst.) 		livera atendovico											bezorgingswachtrij								file d'attente de remise								Zustellwarteschlange			
			delta encoding (delta compression) (subst.) 		datumtraktado laŭ diferencoj / datumtraktado laux diferencoj																														
			delta frame (subst.) 		dependa kadro											deltaframe								image delta								Deltaframe			
			delta inventory (subst.) 		ŝanĝita inventaro / sxangxita inventaro																			inventaire différentiel								Deltaintervall			
			delta inventory file (subst.) 		ŝanĝlisto de inventaro / sxangxlisto de inventaro																			fichier d'inventaire différentiel								Deltaintervalldatei			
			delurk (verbo) 		malkaŭri / malkauxri																														
			demagnetize (demagnetise) (verbo) 		malmagnetigi	Bertin																													
			demand (subst.) 		postulo	Bertin																													
			demand-dial interface (subst.) 		telefonkonekta interfaco por enkursigilo											interface voor bellen-op-verzoek								interface de connexion à la demande								Schnittstelle für Wählen bei Bedarf			
			demilitarized zone (subst.) 		ŝirmilo por loka reto / sxirmilo por loka reto																														
			de Morgan's laws (subst.) 		Demorganaj leĝoj / Demorganaj legxoj	KompLeks	Aleksey Timin																												
			demo version (subst.) 		provoversio					demonstraĵo	KompLeks				de	proefversie	80%	Verklar			demoversie	100%													
			demodulate (verbo) 		malmoduli	Bertin																													
			demodulator (subst.) 		malmodulilo	Bertin																													
			demote (level) (verbo) 		unu nivelon malsupren	OOo				malpligravigi						niveau verlagen								abaisser								tiefer stufen			
			demultiplex (demultiplexer) (subst.) 		malkunigilo	LiberaProg				apartigilo	liberaprogramaro-dissendolisto																								
			demultiplexing (subst.) 		malkunigado											demultiplexing								démultiplexage								Demultiplexing			
			denial of service attack (DoS attack) (subst.) 		atako pri senhavigo de servoj											Denial of Service-aanval								attaque par déni de service								Denial-of-Service-Angriff			
			denial-of-service (subst.) 		senhavigo de servoj											geen toegang krijgen	60%	Verklar																	
			denotation (subst.) 		indiko	KompLeks																													
			density (subst.) 		denso	KompLeks				denseco	Bertin				de	dichtheid	100%	Verklar																	
			dense array (subst.) 		densa tabelo	KompLeks	Aleksey Timin																												
			denumerable set (subst.) 		numerebla aro	KompLeks	Aleksey Timin																												
			department (subst.) 		fako											afdeling								service								Abteilung			
			dependency (subst.) 		dependeco	Debian										afhankelijkheid								dépendance								Abhängigkeit			
			dependency diagram (subst.) 		dependa diagramo											afhankelijkheidsdiagram		Vlietstra																	
			dependency tree (subst.) 		dependa arbo											afhankelijkheidsstructuur								arborescence des dépendances								Abhängigkeitenstruktur			
			dependent (subst.) 		dependaĵo / dependajxo	OOo																													
			dependent  (adj.) 		dependa	TekVort										afhankelijk																			
			dependent client (subst.) 		dependa kliento											afhankelijke client								client dépendant								abhängiger Client			
			dependent module (subst.) 		dependa modulo																			module dépendant								abhängiges Modul			
			dependent program (subst.) 		dependa programo											afhankelijk programma								programme dépendant								abhängiges Programm			
			dependent variable  (subst.) 		dependa variablo	TekVort																													
			dependents (subst.) 		dependaĵoj / dependajxoj											afhankelijke cellen								dépendants								Abhängigkeiten			
			deploy (verbo) 		disponigi	Lode VDV										implementeren								déployer								bereitstellen			
			deployment (subst.) 		disponigo											implementatie		Microsoft						déploiement								Bereitstellung			
			deployment manager (subst.) 		disponiga administrado											configuratiebeheer								gestionnaire de déploiement								Bereitstellungs-Manager			
			deployment package (subst.) 		disponigota pako					disponigota pakaĵo						installatiepakket								package de déploiement								Bereitstellungspaket			
			deprecated (adj.) 		evitinda	KompLeks										afgeraden								déconseillé											
			depress (verbo) 		premi	Bertin																													
			depth (subst.) 		profundeco	OOo																													
			depth-first search (subst.) 		profundema trairo	KompLeks	Aleksey Timin			profundiĝema trairo																									
			deque (subst.) 		dukapa vico	KompLeks	Aleksey Timin																												
			dereference (subst.) 		elreferenci	KompLeks	Aleksey Timin																												
			derivation tree (subst.) 		derivarbo	KompLeks	Aleksey Timin																												
			derivative action (subst.) 		derivago	Bertin																													
			derivative regulation (subst.) 		deriva reguligo	Bertin																													
			derive (verbo) 		derivi	KompLeks	Bertin									afleiden		Van Dale																	
			descender (subst.) 		subliniaĵo / subliniajxo	KompLeks	Aleksey Timin																												
			descendant  (subst.) 		posteulo	KompLeks	TekVort																												
			descending (adj.) 		malkreskante	OOo										aflopend	100%	Microsoft																	
			descending order (subst.) 		malkreska ordo	KompLeks	Bertin																												
			descending sort (subst.) 		malkreska ordigo	KompLeks																													
			descent  (verbo) 		malsupreniri	TekVort																													
			description (subst.) 		priskribo	Drupalo	Bertin																												
			descriptive (adj.) 		priskriba	Bertin																													
			descriptor (subst.) 		priaĵo / priajxo	KompLeks	Aleksey Timin																												
			deselect (verbo) 		malselekti	Drupalo	Ipernity																												
			design (subst.) 		fasonado	Bertilo				dizajno	KompLeks	Bertin	fasono	Sonja's EN-EO dictionary	de	vormgeving	80%	Van Dale	Apple website		industrieel ontwerp	Van Dale													
			design (verbo) 		fasoni	PIV2002	Bertilo			dizajni	KompLeks		fasoni	Sonja's EN-EO dictionary		ontwerpen	100%	Van Dale																	
			design mode (subst.) 		fasonoreĝimo / fasonoregximo											ontwerpmodus								mode Création								Designmodus			
			design phase (subst.) 		fasona fazo										de	ontwerpfase		Vlietstra																	
			design software (subst.) 		fasona programaro										de	ontwerpprogrammatuur	80%	Verklar																	
			design template (subst.) 		fasona ŝablono / fasona sxablono											ontwerpsjabloon								modèle de conception								Entwurfsvorlage			
			design time (subst.) 		tempo de fasonado											ontwerptijd																Entwurfszeit			
			design tool (subst.) 		fasonilo										het	ontwerpgereedschap	80%	Verklar																	
			design view (subst.) 		fasona vido										de	ontwerpweergave								mode Création								Entwurfsansicht			
			designate (verbo) 		indiki	Bertin																													
			designated account (subst.) 		indikita konto																														
			designated router (subst.) 		ĉefa enkursigilo / cxefa enkursigilo																			routeur désigné								designierter Router			
			designation (subst.) 		indiko	KompLeks	Aleksey Timin																												
			designer (subst.) 		fasonisto					dizajnisto					de	ontwerper	80%				vormgever	Van Dale		concepteur								Designer			
			design document (subst.) 		teknika projekto					teĥnika projekto	KompLeks																								
			deskband (subst.) 		ilobreto por la taskostrio											bureaubladbalk								minibarre								Taskleiste			
			desktop (subst.) 		komputila labortablo	KompLeks	ReVo	TekVort		tabulo	KDE				het	bureaublad	100%	Taalunie			desktop			Bureau								Desktop			
			desktop area (subst.) 		labortabla zono	Maŭro																		espace du Bureau								Desktopbereich			
			desktop computer (subst.) 		tabla komputilo	Maŭro				surtabla komputilo					de	bureaucomputer		Van Dale			tafelcomputer	Van Dale													
			desktop environment (subst.) 		labortabla medio																														
			desktop pattern (subst.) 		ekranfono de la labortablo																			motif du Bureau								Desktopmuster			
			desktop publishing (DTP) (subst.) 		perkomputila eldonado	KompList	Vikipedio								de	computer-ondersteunde publicatie	60%	Vlietstra			digitale thuispublicatie	Stichting		publication assistée par ordinateur								Desktoppublishing			
			desktop search (subst.) 		dosiersistema traserĉo / dosiersistema trasercxo																														
			desktop search tool (subst.) 		dosiersistema traserĉilo / dosiersistema trasercxilo																														
			desktop sharing (subst.) 		fora komunigo de labortablo																											Desktopfreigabe			
			desktop toolbar (subst.) 		labortabla ilobreto																			barre d'outils du Bureau								Desktopsymbolleiste			
			desktop version (subst.) 		labortabla versio																														
